"demandID","requisitionID","itemID","technicianID","qtyDemand","dateDemand","remark"
"1","1","12","5","4.000","2023-05-29",
"2","1","549","5","4.000","2023-05-29",
"3","1","28","5","4.000","2023-05-29",
"4","1","1297","5","0.000","2023-05-29",
"5","1","97","5","0.000","2023-05-29",
"6","1","96","5","0.000","2023-05-29",
"7","559","1292","1","1.000","2023-06-01",
"8","559","1290","1","1.000","2023-06-01",
"9","586","577","30","1.000","2023-06-01",
"10","644","1292","12","1.000","2023-06-02",
"11","644","124","12","1.000","2023-06-02","test"
"12","644","644","12","2.000","2023-06-02","test"
"13","921","852","1","1.000","2023-06-08",
"15","921","1290","1","3.000","2023-06-08",
"16","409","869","1","1.000","2023-06-08",
"17","932","670","2","1.000","2023-06-08",
"18","946","1144","3","1.000","2023-06-09",
"19","946","971","3","1.000","2023-06-09",
"20","946","943","3","1.000","2023-06-09",
"21","974","1317","17","1.000","2023-06-09",
"22","334","1317","16","1.000","2023-06-09",
"23","18","137","6","1.000","2023-06-09",
"24","18","968","6","1.000","2023-06-09",
"25","20","28","19","1.000","2023-06-09",
"26","21","28","18","1.000","2023-06-09",
"27","22","28","19","1.000","2023-06-09",
"28","23","28","19","1.000","2023-06-09",
"29","24","325","15","2.000","2023-06-09",
"30","24","73","15","2.000","2023-06-09",
"31","26","73","18","1.000","2023-06-09",
"32","27","73","18","1.000","2023-06-09",
"33","29","73","18","1.000","2023-06-09",
"34","30","28","18","1.000","2023-06-09",
"35","31","28","18","1.000","2023-06-09",
"36","32","28","18","1.000","2023-06-09",
"37","984","28","18","1.000","2023-06-09",
"38","34","131","18","1.000","2023-06-09",
"39","35","131","18","1.000","2023-06-09",
"40","36","325","19","1.000","2023-06-09",
"41","37","537","18","3.000","2023-06-09",
"42","37","186","18","10.000","2023-06-09",
"43","37","540","18","1.000","2023-06-09",
"44","37","325","18","1.000","2023-06-09",
"45","37","1336","18","3.000","2023-06-09",
"46","37","1337","18","3.000","2023-06-09",
"47","38","28","18","1.000","2023-06-10",
"48","39","28","18","1.000","2023-06-10",
"49","40","28","18","1.000","2023-06-10",
"50","41","28","18","1.000","2023-06-10",
"51","42","73","18","1.000","2023-06-10",
"52","42","715","18","1.000","2023-06-10",
"53","43","73","18","1.000","2023-06-10",
"54","45","540","5","1.000","2023-06-10",
"55","45","160","5","1.000","2023-06-10",
"56","46","156","6","1.000","2023-06-10",
"57","46","1346","6","1.000","2023-06-10",
"58","46","509","6","3.000","2023-06-10",
"59","46","196","6","1.000","2023-06-10",
"60","46","129","6","1.000","2023-06-10",
"61","46","535","6","8.000","2023-06-10",
"62","46","140","6","6.000","2023-06-10",
"63","46","782","6","4.000","2023-06-10",
"64","46","180","6","18.000","2023-06-10",
"65","46","1317","6","1.000","2023-06-10",
"66","47","565","15","1.000","2023-06-10",
"67","983","131","4","1.000","2023-06-10",
"68","50","160","15","1.000","2023-06-10",
"69","48","136","5","1.000","2023-06-10",
"70","48","520","5","1.000","2023-06-10",
"71","53","131","18","1.000","2023-06-10",
"72","54","131","18","1.000","2023-06-10",
"73","55","28","18","1.000","2023-06-10",
"74","56","28","18","1.000","2023-06-10",
"75","57","28","18","1.000","2023-06-10",
"76","58","28","18","1.000","2023-06-10",
"77","59","28","18","1.000","2023-06-10",
"78","60","28","19","1.000","2023-06-10",
"79","61","28","18","1.000","2023-06-10",
"80","62","28","17","1.000","2023-06-10",
"81","63","520","17","2.000","2023-06-10",
"82","64","28","6","1.000","2023-06-10",
"83","65","28","6","1.000","2023-06-10",
"84","66","28","6","1.000","2023-06-10",
"85","67","28","6","1.000","2023-06-10",
"86","68","28","6","1.000","2023-06-10",
"87","69","28","16","1.000","2023-06-10",
"88","70","28","6","1.000","2023-06-10",
"89","71","1370","15","2.000","2023-06-10",
"90","72","131","15","1.000","2023-06-10",
"91","73","514","15","1.000","2023-06-10",
"92","74","131","15","1.000","2023-06-10",
"93","75","28","16","1.000","2023-06-10",
"94","78","540","18","1.000","2023-06-10",
"95","79","28","18","1.000","2023-06-10",
"96","80","514","18","1.000","2023-06-10",
"97","81","28","18","1.000","2023-06-10",
"98","82","28","18","1.000","2023-06-10",
"99","83","28","18","1.000","2023-06-10",
"100","84","540","19","1.000","2023-06-10",
"101","84","514","19","1.000","2023-06-10",
"102","84","325","19","1.000","2023-06-10",
"103","982","131","19","1.000","2023-06-10",
"104","981","131","18","2.000","2023-06-10",
"105","981","525","18","2.000","2023-06-10",
"106","981","782","18","4.000","2023-06-10",
"107","980","131","19","1.000","2023-06-10",
"108","980","525","19","1.000","2023-06-10",
"109","85","28","18","1.000","2023-06-11",
"110","85","131","18","1.000","2023-06-11",
"111","85","525","18","1.000","2023-06-11",
"112","979","346","5","1.000","2023-06-11",
"113","86","325","15","1.000","2023-06-11",
"114","87","325","15","2.000","2023-06-11",
"115","88","535","15","5.000","2023-06-11",
"116","88","536","15","1.000","2023-06-11",
"117","91","131","15","1.000","2023-06-11",
"118","93","514","18","1.000","2023-06-11",
"119","93","440","18","2.000","2023-06-11",
"120","94","28","18","1.000","2023-06-11",
"121","95","28","18","1.000","2023-06-11",
"122","96","28","18","1.000","2023-06-11",
"123","97","325","19","1.000","2023-06-11",
"124","98","28","18","1.000","2023-06-11",
"125","99","28","19","1.000","2023-06-11",
"126","100","968","19","1.000","2023-06-11",
"127","101","412","16","2.000","2023-06-11",
"128","102","520","6","1.000","2023-06-11",
"129","102","183","6","36.000","2023-06-11",
"130","104","28","19","2.000","2023-06-11",
"131","105","28","18","1.000","2023-06-11",
"132","106","1404","18","1.000","2023-06-11",
"133","106","530","18","1.000","2023-06-11",
"134","107","1404","18","1.000","2023-06-11",
"135","108","1404","18","1.000","2023-06-11",
"136","109","530","19","1.000","2023-06-11",
"137","121","131","18","1.000","2023-06-11",
"138","120","533","19","1.000","2023-06-11",
"139","120","532","19","1.000","2023-06-11",
"140","119","131","19","1.000","2023-06-11",
"141","119","525","19","1.000","2023-06-11",
"142","118","131","19","1.000","2023-06-11",
"143","118","525","19","1.000","2023-06-11",
"144","117","28","19","1.000","2023-06-11",
"145","114","28","18","1.000","2023-06-11",
"146","115","28","18","1.000","2023-06-11",
"147","116","28","18","1.000","2023-06-11",
"148","113","28","18","1.000","2023-06-11",
"150","111","209","18","2.000","2023-06-11",
"151","978","131","6","1.000","2023-06-11",
"152","978","525","6","1.000","2023-06-11",
"153","977","503","6","1.000","2023-06-11",
"154","977","502","6","1.000","2023-06-11",
"155","977","79","6","1.000","2023-06-11",
"156","977","538","6","1.000","2023-06-11",
"157","977","521","6","2.000","2023-06-11",
"158","977","782","6","4.000","2023-06-11",
"159","122","1423","6","1.000","2023-06-11",
"160","123","131","5","1.000","2023-06-11",
"161","123","28","5","1.000","2023-06-11",
"162","124","131","6","2.000","2023-06-11",
"163","125","131","6","1.000","2023-06-11",
"164","125","523","6","2.000","2023-06-11",
"165","126","1306","6","1.000","2023-06-11",
"166","127","346","6","6.000","2023-06-11",
"167","127","160","6","1.000","2023-06-11",
"168","128","378","5","2.000","2023-06-11",
"169","128","346","5","1.000","2023-06-11",
"170","128","849","5","10.000","2023-06-11",
"171","128","782","5","10.000","2023-06-11",
"172","128","1430","5","2.000","2023-06-11",
"173","128","1431","5","2.000","2023-06-11",
"174","129","540","19","1.000","2023-06-11",
"175","130","131","18","1.000","2023-06-11",
"176","130","28","18","1.000","2023-06-11",
"177","229","325","18","1.000","2023-06-11",
"178","230","28","18","1.000","2023-06-11",
"179","231","514","18","2.000","2023-06-11",
"180","232","28","18","1.000","2023-06-11",
"181","233","28","18","1.000","2023-06-11",
"182","234","28","18","1.000","2023-06-11",
"183","235","28","18","1.000","2023-06-11",
"184","236","28","18","1.000","2023-06-11",
"185","237","28","18","1.000","2023-06-11",
"186","238","325","18","1.000","2023-06-11",
"187","239","346","16","1.000","2023-06-11",
"188","240","346","16","3.000","2023-06-11",
"189","242","28","16","2.000","2023-06-11",
"190","243","28","16","1.000","2023-06-11",
"191","244","28","16","1.000","2023-06-11",
"192","245","346","6","2.000","2023-06-11",
"193","246","346","6","2.000","2023-06-11",
