"itemID","itemHead","itemName","countUnit","qtyInhand","qtyCritical","remark","status"
"3","Electrical","Bulb","No.","0.000","0.000",NULL,"Enabled"
"5","Electrical","Tube Rod 40 Watt","No.","1.000","0.000",NULL,"Enabled"
"6","Electrical","Switch 5 Amp","No.","0.000","0.000","test","Enabled"
"7","Electrical","Socket 5 Amp","No.","1.000","0.000","test","Enabled"
"8","Electrical","Switch 15 Amp","No.","1.000","0.000","test","Enabled"
"9","Fan","Fan 3 Blade 7200 RPM","No.","1.000","0.000","Test","Enabled"
"11","Fan","Hook for ceiling fan","No.","1.000","0.000","test","Enabled"
"12","Fan","Bearing-6201","No.","34.000","10.000",,"Enabled"
"13","Fan","Bearing-6204","No.","3.000","0.000","heera pipe brand","Enabled"
"14","Electrical","9W LED E27 Bulb","No.","195.000","10.000","Screw Type","Enabled"
"15","Fan","Anchor fastner for fan -(10mmx3inch)","No.","30.000","0.000",,"Enabled"
"16","Fan","Anchor fastner for fan -(12mmx3inch)","No.","17.000","5.000",,"Enabled"
"22","Fan","Bearing-6205","No.","0.000","0.000",,"Enabled"
"23","Fan","Bush for 9inch Fresh Air Fan","No.","48.000","5.000",,"Enabled"
"24","Fan","Bush","No.","40.000","5.000",,"Enabled"
"26","Fan","Capacitor 1.5 MFD","No.","25.000","0.000",,"Enabled"
"27","Fan","abc","No.","0.000","0.000",,"Enabled"
"28","Fan","Capacitor 2.5 MFD x","No.","949.000","25.000",,"Enabled"
"29","Fan","Capacitor 4.0 MFD","No.","35.000","5.000",,"Enabled"
"30","Fan","Capacitor 8.0 MFD","No.","57.000","5.000",,"Enabled"
"31","Fan","Capacitor 10.0 MFD","No.","2.000","0.000",,"Enabled"
"32","Electrical","Capacitor 200-250 MFD","No.","10.000","2.000",,"Enabled"
"33","Fan","Cotton Tape Roll-1inch","No.","15.000","2.000",,"Enabled"
"34","Fan","Cotton Tape Roll-1/2inch","No.","31.000","0.000",,"Enabled"
"35","Fan","Condenser Fibre Clip","No.","534.000","10.000",,"Enabled"
"37","Electrical","Clutch motor set","No.","0.000","0.000",,"Enabled"
"38","Fan","Counter Meter of fan winding machine","No.","0.000","0.000",,"Enabled"
"39","Electrical","Capacitor (100/120) MFD","No.","2.000","0.000",,"Enabled"
"40","Fan","Capacitor 3.15 MFD x","No.","51.000","0.000",,"Enabled"
"41","Electrical","Capacitor 4.15 MFD","No.","20.000","5.000",,"Enabled"
"42","Fan","Capacitor 1.85 MFD","No.","191.000","5.000",,"Enabled"
"44","Electrical","Air Cooler","No.","5.000","0.000",,"Enabled"
"45","Fan","Capacitor 1.0 MFD","No.","20.000","5.000",,"Enabled"
"46","Fan","Dhaga","Roll","23.500","5.000",,"Enabled"
"47","Electrical","Old dhooti","No.","0.000","0.000",,"Enabled"
"48","Fan","Exhaust Fan Body Ring (Moulded)","No.","12.000","2.000",,"Enabled"
"49","Fan","Exhaust Fan-300 MM Havell","No.","7.000","2.000",,"Enabled"
"50","Fan","Exhaust Fan old 300 MM","No.","2.000","0.000",,"Enabled"
"51","Fan","Exhaust Fan-250 MM (old)","No.","21.000","0.000",,"Enabled"
"52","Fan","12inch Exhaust Fan Hub","No.","5.000","0.000",,"Enabled"
"53","Fan","Exhaust Fan Blade-12inch","No.","0.000","0.000",,"Enabled"
"54","Fan","Exhaust Fan-18inch","No.","0.000","0.000",,"Enabled"
"55","Fan","Bearing-6203","Nos.","25.000","5.000",,"Enabled"
"56","Fan","Exhaust Fan-24inch","No.","0.000","0.000",,"Enabled"
"57","Fan","Ceiling Fan Blade-1400 MM ","No.","22.000","0.000",,"Enabled"
"58","Fan","Ceiling Fan USHA 1200MM","No.","11.000","0.000",,"Enabled"
"59","Fan",,,"0.000","0.000",,"Enabled"
"60","Fan","Fan Hanging rod-5 ft.","No.","4.000","0.000",,"Enabled"
"61","Fan","Ceiling fan 1200 MM Usha ","No.","1.000","0.000",,"Enabled"
"62","Fan","Greese","No.","1.000","0.000",,"Enabled"
"63","Fan","Green Paper- 7 No.","Sq.ft.","45.920","0.000",,"Enabled"
"64","Fan","Wall mounted Fan Hook","No.","6.000","0.000",,"Enabled"
"65","Fan","10/76 two core twisted wire","Mtrs.","559.000","0.000",,"Enabled"
"66","Fan","Mobile Oil for fans","ltrs.","41.575","0.000",,"Enabled"
"67","Fan","Motor Pankhi","No.","0.000","0.000",,"Enabled"
"68","Fan","Motor Coupling Rubber","No.","0.000","0.000",,"Enabled"
"69","Fan","Nut bolt for ceiling fan","No.","452.000","0.000",,"Enabled"
"71","Fan","PVC 7 No. White","Kg.","11.550","0.000",,"Enabled"
"72","Fan","Fan Regulator anchor switch model","No.","150.000","0.000",,"Enabled"
"73","Fan","Fan Regulator Anchor socket model","No.","181.000","0.000",,"Enabled"
"74","Fan","Rivet- aluminium","gm","246.000","0.000",,"Enabled"
"77","Fan","Cooler ",,"0.000","0.000","0","Enabled"
"78","Fan","Fan Regulator Legrand Arteor","No.","33.000","0.000",,"Enabled"
"79","Fan","Fan Regulator (Roma) Switch model","No.","50.000","0.000",,"Enabled"
"80","Fan","Fan Regulator (Anchor Penta) Modular","No.","100.000","0.000",,"Enabled"
"81","Fan","Fan Regulator (Roma) socket Model","No.","30.000","0.000",,"Enabled"
"82","Fan","Glass Sleeving No-1 (1 mtr. length)","Nos.","623.580","0.000",,"Enabled"
"83","Fan","Glass Sleeving No.2 (1 mtr. length)","Mtrs.","893.000","0.000",,"Enabled"
"84","Fan","Glass Sleeving No.3 (1 mtr. length)","Mtrs.","1160.000","0.000",,"Enabled"
"85","Fan","Glass sleeving No.4 (1 mtr. length)","Mtrs.","102.000","0.000",,"Enabled"
"86","Fan","Scrap winding wire","Kg.","215.000","0.000",,"Enabled"
"87","Fan","Solder wire","gm","360.000","0.000",,"Enabled"
"88","Fan","Safety pin ","No.","249.000","0.000",,"Enabled"
"89","Fan","shaft -8inch double threaded for wall fan","No.","48.000","0.000",,"Enabled"
"90","Fan","Bush Patti","No.","0.000","0.000",,"Enabled"
"91","Fan","PVC Central pully","No.","0.000","0.000",,"Enabled"
"92","Fan","Glass Sleeving No. 6 (1 mtr. length)","No.","0.000","0.000",,"Enabled"
"93","Fan","Stud rod plane","No.","60.000","0.000",,"Enabled"
"94","Fan","Stud rod cut type","No.","42.000","0.000",,"Enabled"
"95","Fan","Solder Paste","gm","10.000","0.000",,"Enabled"
"96","Fan","Thinner","Ltrs.","9.100","0.000",,"Enabled"
"97","Fan","Varnish","Ltrs.","17.875","0.000",,"Enabled"
"98","Fan","Ventilator for Exhaust Fans","No.","40.000","0.000",,"Enabled"
"99","Fan","Winding Wire-35 No.","Kg.","33.860","0.000",,"Enabled"
"100","Fan","Winding Wire-34 No.","Kg.","12.300","0.000",,"Enabled"
"101","Fan","Winding wire-36 No.","Kgs.","6.335","0.000",,"Enabled"
"102","Fan","Winding Wire-28 No.","Kg.","7.625","0.000",,"Enabled"
"103","Fan","Winding Wire-30 No.","Kg.","13.110","0.000",,"Enabled"
"104","Fan","Bearing-6200","No.","84.000","0.000",,"Enabled"
"106","Fan","winding wire-24 No.","Kg.","3.000","0.000",,"Enabled"
"107","Fan","Winding wire-37 No.","Kg.","7.850","0.000",,"Enabled"
"108","Fan","winding wire-26 No.","Kg.","9.206","0.000",,"Enabled"
"109","Fan","Winding wire-32 No.","Kg.","13.300","0.000",,"Enabled"
"110","Fan","Ceiling Fan blade-1200 MM","No.","25.000","0.000",,"Enabled"
