"utilizeID","requisitionID","itemID","technicianID","qtyOut","dateUtilize","remark"
"1","1","12","5","4.000","2023-05-29",
"2","1","549","5","4.000","2023-05-29",
"3","1","28","5","4.000","2023-05-29",
"5","644","122","12","1.000","2023-06-02","test"
"6","921","852","1","1.000","2023-06-08",
"7","409","869","1","1.000","2023-06-08",
"11","932","670","2","1.000","2023-06-08","test"
"12","946","1144","3","1.000","2023-06-09",
"13","946","971","3","1.000","2023-06-09",
"14","946","943","3","1.000","2023-06-09",
"15","974","1317","17","1.000","2023-06-09",
"16","334","1317","16","1.000","2023-06-09",
"17","18","137","6","1.000","2023-06-09",
"18","18","968","6","1.000","2023-06-09",
"19","20","28","19","1.000","2023-06-09",
"20","21","28","18","1.000","2023-06-09",
"21","22","28","19","1.000","2023-06-09",
"22","23","28","19","1.000","2023-06-09",
"23","24","325","15","2.000","2023-06-09",
"24","24","73","15","2.000","2023-06-09",
"25","26","73","18","1.000","2023-06-09",
"26","27","73","18","1.000","2023-06-09",
"27","29","73","18","1.000","2023-06-09",
"28","30","28","18","1.000","2023-06-09",
"29","31","28","18","1.000","2023-06-09",
"30","32","28","18","1.000","2023-06-09",
"31","984","28","18","1.000","2023-06-09",
"32","34","131","18","1.000","2023-06-09",
"33","35","131","18","1.000","2023-06-09",
"34","36","325","19","1.000","2023-06-09",
"35","37","537","18","3.000","2023-06-09",
"36","37","186","18","10.000","2023-06-09",
"37","37","540","18","1.000","2023-06-09",
"38","37","325","18","1.000","2023-06-09",
"39","37","1336","18","3.000","2023-06-09",
"40","37","1337","18","3.000","2023-06-09",
"41","38","28","18","1.000","2023-06-10",
"42","39","28","18","1.000","2023-06-10",
"43","40","28","18","1.000","2023-06-10",
"44","41","28","18","1.000","2023-06-10",
"45","42","73","18","1.000","2023-06-10",
"46","42","715","18","1.000","2023-06-10",
"47","43","73","18","1.000","2023-06-10",
"48","45","540","5","1.000","2023-06-10",
"49","45","160","5","1.000","2023-06-10",
"50","46","156","6","1.000","2023-06-10",
"51","46","1346","6","1.000","2023-06-10",
"52","46","509","6","3.000","2023-06-10",
"53","46","196","6","1.000","2023-06-10",
"54","46","129","6","1.000","2023-06-10",
"55","46","535","6","8.000","2023-06-10",
"56","46","140","6","6.000","2023-06-10",
"57","46","782","6","4.000","2023-06-10",
"58","46","180","6","18.000","2023-06-10",
"59","46","1317","6","1.000","2023-06-10",
"60","47","565","15","1.000","2023-06-10",
"61","983","131","4","1.000","2023-06-10",
"62","50","160","15","1.000","2023-06-10",
"63","48","136","5","1.000","2023-06-10",
"64","48","520","5","1.000","2023-06-10",
"65","53","131","18","1.000","2023-06-10",
"66","54","131","18","1.000","2023-06-10",
"67","55","28","18","1.000","2023-06-10",
"68","56","28","18","1.000","2023-06-10",
"69","57","28","18","1.000","2023-06-10",
"70","58","28","18","1.000","2023-06-10",
"71","59","28","18","1.000","2023-06-10",
"72","60","28","19","1.000","2023-06-10",
"73","61","28","18","1.000","2023-06-10",
"74","62","28","17","1.000","2023-06-10",
"75","63","520","17","2.000","2023-06-10",
"76","64","28","6","1.000","2023-06-10",
"77","65","28","6","1.000","2023-06-10",
"78","66","28","6","1.000","2023-06-10",
"79","67","28","6","1.000","2023-06-10",
"80","68","28","6","1.000","2023-06-10",
"81","69","28","16","1.000","2023-06-10",
"82","70","28","6","1.000","2023-06-10",
"83","71","1370","15","2.000","2023-06-10",
"84","72","131","15","1.000","2023-06-10",
"85","73","514","15","1.000","2023-06-10",
"86","74","131","15","1.000","2023-06-10",
"87","75","28","16","1.000","2023-06-10",
"88","78","540","18","1.000","2023-06-10",
"89","79","28","18","1.000","2023-06-10",
"90","80","514","18","1.000","2023-06-10",
"91","81","28","18","1.000","2023-06-10",
"92","82","28","18","1.000","2023-06-10",
"93","83","28","18","1.000","2023-06-10",
"94","84","540","19","1.000","2023-06-10",
"95","84","514","19","1.000","2023-06-10",
"96","84","325","19","1.000","2023-06-10",
"97","982","131","19","1.000","2023-06-10",
"98","981","131","18","2.000","2023-06-10",
"99","981","525","18","2.000","2023-06-10",
"100","981","782","18","4.000","2023-06-10",
"101","980","131","19","1.000","2023-06-10",
"102","980","525","19","1.000","2023-06-10",
"103","85","28","18","1.000","2023-06-11",
"104","85","131","18","1.000","2023-06-11",
"105","85","525","18","1.000","2023-06-11",
"106","979","346","5","1.000","2023-06-11",
"107","86","325","15","1.000","2023-06-11",
"108","87","325","15","2.000","2023-06-11",
"109","88","535","15","5.000","2023-06-11",
"110","88","536","15","1.000","2023-06-11",
"111","91","131","15","1.000","2023-06-11",
"112","93","514","18","1.000","2023-06-11",
"113","93","440","18","2.000","2023-06-11",
"114","94","28","18","1.000","2023-06-11",
"115","95","28","18","1.000","2023-06-11",
"116","96","28","18","1.000","2023-06-11",
"117","97","325","19","1.000","2023-06-11",
"118","98","28","18","1.000","2023-06-11",
"119","99","28","19","1.000","2023-06-11",
"120","101","412","16","2.000","2023-06-11",
"121","102","520","6","1.000","2023-06-11",
"122","102","183","6","36.000","2023-06-11",
"123","104","28","19","2.000","2023-06-11",
"124","105","28","18","1.000","2023-06-11",
"125","106","1404","18","1.000","2023-06-11",
"126","106","530","18","1.000","2023-06-11",
"129","109","530","19","1.000","2023-06-11",
"130","121","131","18","1.000","2023-06-11",
"131","120","533","19","1.000","2023-06-11",
"132","120","532","19","1.000","2023-06-11",
"133","119","131","19","1.000","2023-06-11",
"134","119","525","19","1.000","2023-06-11",
"135","118","131","19","1.000","2023-06-11",
"136","118","525","19","1.000","2023-06-11",
"137","117","28","19","1.000","2023-06-11",
"138","114","28","18","1.000","2023-06-11",
"139","115","28","18","1.000","2023-06-11",
"140","116","28","18","1.000","2023-06-11",
"141","113","28","18","1.000","2023-06-11",
"143","111","209","18","2.000","2023-06-11",
"144","978","131","6","1.000","2023-06-11",
"145","978","525","6","1.000","2023-06-11",
"146","977","503","6","1.000","2023-06-11",
"147","977","502","6","1.000","2023-06-11",
"148","977","79","6","1.000","2023-06-11",
"149","977","538","6","1.000","2023-06-11",
"150","977","521","6","2.000","2023-06-11",
"151","977","782","6","4.000","2023-06-11",
"152","123","131","5","1.000","2023-06-11",
"153","123","28","5","1.000","2023-06-11",
"154","124","131","6","2.000","2023-06-11",
"155","125","131","6","1.000","2023-06-11",
"156","125","523","6","2.000","2023-06-11",
"157","126","1306","6","1.000","2023-06-11",
"158","127","346","6","6.000","2023-06-11",
"159","127","160","6","1.000","2023-06-11",
"160","128","378","5","2.000","2023-06-11",
"161","128","346","5","1.000","2023-06-11",
"162","128","849","5","10.000","2023-06-11",
"163","128","782","5","10.000","2023-06-11",
"164","128","1430","5","2.000","2023-06-11",
"165","128","1431","5","2.000","2023-06-11",
"166","129","540","19","1.000","2023-06-11",
"167","130","131","18","1.000","2023-06-11",
"168","130","28","18","1.000","2023-06-11",
"169","229","325","18","1.000","2023-06-11",
"170","230","28","18","1.000","2023-06-11",
"171","231","514","18","2.000","2023-06-11",
"172","232","28","18","1.000","2023-06-11",
"173","233","28","18","1.000","2023-06-11",
"174","234","28","18","1.000","2023-06-11",
"175","235","28","18","1.000","2023-06-11",
"176","236","28","18","1.000","2023-06-11",
"177","237","28","18","1.000","2023-06-11",
"178","238","325","18","1.000","2023-06-11",
"179","239","346","16","1.000","2023-06-11",
"180","240","346","16","3.000","2023-06-11",
"181","242","28","16","2.000","2023-06-11",
"182","243","28","16","1.000","2023-06-11",
"183","244","28","16","1.000","2023-06-11",
"184","245","346","6","2.000","2023-06-11",
"185","246","346","6","2.000","2023-06-11",
"186","247","1431","15","2.000","2023-06-11",
"187","248","540","18","1.000","2023-06-11",
"188","248","127","18","1.000","2023-06-11",
"189","249","28","6","1.000","2023-06-11",
"190","250","136","18","1.000","2023-06-11","Gearup"
"191","251","514","18","1.000","2023-06-12",
"192","252","325","18","1.000","2023-06-12",
"193","253","28","18","1.000","2023-06-12",
"194","253","514","18","1.000","2023-06-12",
"195","254","28","18","1.000","2023-06-12",
"196","255","28","18","1.000","2023-06-12",
"197","256","28","18","1.000","2023-06-12",
"198","257","28","18","1.000","2023-06-12",
