CaseID,Activity,Timestamp
1,Electrical (Office/Academics/Hostels) (Request received),4/3/2023
1,Er. Satya Prakash Sahu (Assigned),4/6/2023
1,Bablu Prasad (Visits the Place),4/6/2023
1,"Fan, Fan, Fan, Bearing-6201, Capacitor 2.5 MFD x, Bearing-6202 (Indent the item)",4/6/2023
1,Revisit the location,4/6/2023
1,Status: Resolved,5/30/2023
2,Electrical (Office/Academics/Hostels) (Request received),4/3/2023
2,Status: Pending,4/3/2023
3,Electrical (Office/Academics/Hostels) (Request received),4/3/2023
3,Er. Satya Prakash Sahu (Assigned),6/7/2023
3,Status: Underway,4/7/2023
4,Electrical (Residence/Visitor Hostels/Sport Complex) (Request received),4/7/2023
4,Status: Pending,4/7/2023
5,Electrical (Office/Academics/Hostels) (Request received),4/7/2023
5,Status: Pending,4/8/2023
6,Electrical (Residence/Visitor Hostels/Sport Complex) (Request received),4/8/2023
6,Status: Pending,4/8/2023
7,Electrical (Office/Academics/Hostels) (Request received),4/8/2023
7,Status: Pending,4/8/2023
8,Electrical (Office/Academics/Hostels) (Request received),4/8/2023
8,Status: Pending,4/10/2023
9,Electrical (Office/Academics/Hostels) (Request received),4/10/2023
9,Status: Pending,4/10/2023
10,Electrical (Office/Academics/Hostels) (Request received),4/10/2023
10,Status: Pending,4/10/2023
11,Electrical (Office/Academics/Hostels) (Request received),4/10/2023
11,Status: Pending,4/11/2023
12,Electrical (Office/Academics/Hostels) (Request received),4/11/2023
12,Status: Pending,4/11/2023
13,Electrical (Office/Academics/Hostels) (Request received),4/11/2023
13,Status: Pending,4/11/2023
14,Electrical (Office/Academics/Hostels) (Request received),4/11/2023
14,Status: Pending,4/12/2023
15,Electrical (Office/Academics/Hostels) (Request received),4/12/2023
15,Status: Pending,4/12/2023
16,Electrical (Office/Academics/Hostels) (Request received),4/12/2023
16,Status: Pending,5/12/2023
17,Electrical (Office/Academics/Hostels) (Request received),5/12/2023
17,Status: Pending,4/1/2023
18,Electrical (Residence/Visitor Hostels/Sport Complex) (Request received),4/1/2023
